id,arrival_time,burst_time,completion_time,turnaround_time,waiting_time,response_time
9,0,5,5,5,0,0
10,0,33,203,203,170,170
12,1,12,24,23,11,11
5,4,7,12,8,1,1
6,8,37,240,232,195,195
11,8,37,277,269,232,232
7,9,37,314,305,268,268
8,9,23,117,108,85,85
20,11,14,79,68,54,54
3,12,26,143,131,105,105
1,13,9,42,29,20,20
19,13,39,353,340,301,301
2,17,5,29,12,7,7
14,18,27,170,152,125,125
13,22,15,94,72,57,57
4,23,41,394,371,330,330
15,24,47,441,417,370,370
17,24,10,52,28,18,18
18,28,13,65,37,24,24
16,29,4,33,4,0,0
